trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.5, 'e': 0.8855195169413194}",25,0,-113.44928828112762,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9274784307440359}",25,0,-101.73058155344594,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.960170286650366}",25,0,-80.8078083567391,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9832684384425847}",25,0,-170.3814017304889,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.9965420970232175}",20,0,-198.31935476807948,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
63,False,"{'a': 0.5, 'e': 0.9998586363834151}",20,0,-60.88386280942778,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.9931849187581926}",20,0,-85.89504403008169,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,0,-39.35828995599994,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.9502325919585293}",30,0,-140.40913265303118,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.9143831482353194}",30,8,-72.98631589859225,"{0: 13, 1: 6, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.8693974903498248}",20,0,-44.88235635599842,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.8157251001253568}",20,0,-47.78759705868315,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.7539022543433046}",25,0,-63.09825534237338,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.6845466664428059}",25,0,-246.03539842097973,"{0: 12, 1: 1, 2: 6, 3: 2, 4: 4}",0
72,False,"{'a': 0.5, 'e': 0.6083513145322546}",35,0,-174.8461418324846,"{0: 26, 1: 1, 2: 2, 3: 3, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.5260775173811045}",20,15,2.4559142793877813,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.43854732757439036}",20,0,-21.147365602923884,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.3466353178350258}",30,0,-110.20868011848702,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 3}",0
76,False,"{'a': 0.5, 'e': 0.25125984258225487}",35,23,-21.525846122347655,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.15337386203786435}",20,9,-4.253904640399142,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.05395542056264886}",20,11,18.971705910219352,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.04600212563953695}",25,18,12.011485618171712,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.14550003380861354}",30,19,11.215010557798497,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.2435441537357911}",30,18,-58.12324149431558,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.33915486098383624}",20,10,-6.373391600118159,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.4313768449706208}",20,16,6.471848766624904,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.5192886541166856}",25,3,13.006853291104797,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.6020119026848236}",20,0,-93.30522041971788,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.6787200473200125}",20,1,-20.401319972601247,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.7486466455973999}",30,0,-113.04617370027181,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
88,False,"{'a': 0.5, 'e': 0.811093014061656}",25,0,-40.90188040370923,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.8654352092411123}",30,0,-139.49356151029946,"{0: 16, 1: 4, 2: 6, 3: 4, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.9111302618846769}",25,0,-118.18662441641138,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.9477216021311119}",20,0,-87.86056678628631,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.974843621404164}",30,0,-244.96658664081687,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 5}",0
93,False,"{'a': 0.5, 'e': 0.9922253254526034}",25,0,-153.9317261996901,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.9996930420352065}",25,0,-100.0529642520917,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.9971721561963784}",30,0,-77.49727911330885,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.9846878557941267}",25,0,-50.488685004746856,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.9623648798313097}",30,0,-171.35639645808217,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
98,False,"{'a': 0.5, 'e': 0.9304262721047533}",25,1,-106.00367530296816,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.8891911526253609}",30,0,-66.60432759359723,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.8390715290764524}",20,0,11.539200399182425,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.7805681801691826}",20,0,-168.14032754471046,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
102,False,"{'a': 0.5, 'e': 0.7142656520271989}",30,0,-142.52962835526722,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
103,False,"{'a': 0.5, 'e': 0.6408264175949933}",30,0,-156.7788963896833,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
104,False,"{'a': 0.5, 'e': 0.5609842574272288}",20,0,-125.13250546239212,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
105,False,"{'a': 0.5, 'e': 0.4755369279959925}",35,0,-54.072234249479536,"{0: 29, 1: 1, 2: 3, 3: 1, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.385338190771828}",20,7,1.1662579084812412,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.29128928172134383}",20,11,-24.28214427829984,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.1943299064553348}",25,10,4.524118271725879,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.09542885100095065}",20,2,30.096853611349196,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.004425697988050785}",20,8,18.86669739188782,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
